Timestamp,Score,Please enter a nickname (MUST be same as Amazon Mechanical Turk Name),"Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ","Is this a dog, bagel, or muffin? ",How long did it take to complete the image labeling? (please respond in the form of <minutes>:<seconds>. For example 5:32),Rate the background noise of your environment,How focused did you feel while completing the image labeling? ,How frequently do you listen to music while working?,"If you do listen to music while working, what genre(s) of music do you listen to?","If you do listen to music while working, how much of an impact does it have on your productivity? ",How long have you used Amazon Mechanical Turk? ,How many hours per week do you complete image classification on Amazon Mechanical Turk? ,Age (in years),Gender
4/17/2022 16:54:57,27 / 32,Rose,Dog,Muffin,Bagel,Muffin,None of the above,Bagel,Dog,Dog,Bagel,Dog,None of the above,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Bagel,Dog,Muffin,Muffin,2:12,4,2,3,ghjk,4,2 - 3 years,6-10,25-34,Male
4/17/2022 17:09:15,32 / 32,Miguel,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:00,2,4,2,Classical,4,0 - 1 years,0-1,25-34,Male
4/17/2022 19:50:34,32 / 32,A2N93IVSZXSB73,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,1:58,2,5,2,Rock,3,4+ years,0-1,55-64,Male
4/17/2022 19:51:52,32 / 32,Monica Guzman,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:29,1,5,4,Trap ,5,0 - 1 years,2-5,19-24,Female
4/17/2022 19:57:59,31 / 32,Atu,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Bagel,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,1:18,2,4,2,Modern classical/Instrumental rock,5,0 - 1 years,0-1,35-44,Female
4/17/2022 20:00:39,31 / 32,elene ,None of the above,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3,3,4,3,Rave,4,0 - 1 years,11-20,19-24,Female
4/17/2022 20:06:56,32 / 32,AK64TN2OEBAV7,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,:60,1,5,4,rock,5,2 - 3 years,11-20,35-44,Female
4/17/2022 20:20:55,32 / 32,Kenzie Irons,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,1:15,2,5,2,Lofi,3,0 - 1 years,2-5,19-24,Female
4/17/2022 20:21:18,32 / 32,Neferteri,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,4:00,1,4,1,none,3,2 - 3 years,0-1,25-34,Female
4/17/2022 20:21:48,31 / 32,Nya,Dog,Bagel,Muffin,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:00,1,5,4,"Hip-hop Instrumental, Jazz instrumental",5,0 - 1 years,0-1,25-34,Female
4/17/2022 20:24:04,32 / 32,joe,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,20.05,1,5,1,light music,4,0 - 1 years,6-10,55-64,Male
4/17/2022 20:34:11,32 / 32,queen,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,1:05,1,5,1,,,0 - 1 years,0-1,45-54,Female
4/17/2022 20:35:26,32 / 32,AFLERYJUBZZAQ,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:45,1,5,2,Dance,4,0 - 1 years,0-1,65+,Male
4/17/2022 20:43:25,32 / 32,A1X4ZPIIT2ALVG,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,2:45,1,5,4,Country,5,2 - 3 years,2-5,35-44,Female
4/17/2022 20:47:04,32 / 32,Jillian,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,00:44,2,5,3,Instrumental hip-hop or pop,4,0 - 1 years,0-1,19-24,Female
4/17/2022 20:48:27,32 / 32,A26XO0ZJXHVWK2,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,0:32,1,5,3,Movie soundtracks,4,0 - 1 years,6-10,19-24,Male
4/17/2022 20:50:29,25 / 32,MTURK,Dog,Muffin,Bagel,Muffin,Bagel,Muffin,Dog,Dog,Muffin,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Muffin,Dog,Bagel,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Bagel,Dog,Muffin,Bagel,4.22,4,3,3,MELODIES,4,2 - 3 years,2-5,45-54,Male
4/17/2022 21:17:04,29 / 32,Jamie love,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Bagel,Dog,Bagel,Dog,Bagel,Bagel,Dog,None of the above,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,5,3,4,1,nothing ,3,4+ years,21-35,45-54,Male
4/17/2022 22:37:14,24 / 32,Charlene Davis,Dog,Muffin,Muffin,Muffin,Muffin,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,Dog,Muffin,Dog,Dog,Dog,Muffin,Dog,Muffin,Dog,Dog,Dog,Muffin,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,2.32,4,4,5,melody,4,4+ years,21-35,25-34,Female
4/17/2022 22:43:36,32 / 32,Janelle,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:00,3,3,3,Reggae,3,0 - 1 years,0-1,19-24,Female
4/17/2022 22:48:30,19 / 32,william,Dog,Muffin,Bagel,None of the above,Bagel,Muffin,Muffin,Dog,Bagel,Dog,Muffin,Muffin,Dog,None of the above,Dog,Dog,Dog,Bagel,Dog,None of the above,Dog,Dog,Dog,Muffin,Muffin,None of the above,Dog,Dog,None of the above,Dog,None of the above,None of the above,2:3,4,4,4,good,4,4+ years,35+,35-44,Male
4/17/2022 22:53:37,32 / 32,Andrew,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:52,3,4,4,melody,4,2 - 3 years,11-20,25-34,Male
4/17/2022 22:56:01,24 / 32,Ashlee Johann,Dog,Muffin,Muffin,Muffin,Muffin,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,Dog,Muffin,Dog,Dog,Dog,Muffin,Dog,Muffin,Dog,Dog,Dog,Muffin,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,2.35,4,5,4,melody,4,4+ years,21-35,25-34,Female
4/17/2022 22:56:08,32 / 32,MILKY,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,2:05,1,5,1,NONE,2,4+ years,21-35,25-34,Female
4/17/2022 22:57:16,32 / 32,amazing work,Dog,Bagel,Bagel,Muffin,Bagel,Bagel,Dog,Dog,Bagel,Dog,Bagel,Muffin,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Dog,Bagel,Dog,Muffin,Dog,Dog,Muffin,Dog,Muffin,Muffin,3:20,4,4,4,melodius,4,0 - 1 years,6-10,25-34,Male
4/17/2022 23:00:35,19 / 32,Charlene,Dog,Muffin,Muffin,Muffin,Muffin,Muffin,Dog,Dog,Muffin,Dog,Bagel,Bagel,Dog,Bagel,Dog,Dog,Dog,Bagel,Dog,Bagel,Dog,Dog,Dog,Muffin,Dog,Bagel,Dog,Dog,Bagel,Dog,Bagel,Bagel,10,3,4,4,jack,4,2 - 3 years,6-10,35-44,Male